"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","General","54","0","General","0"
"0","","0","General","2","0","Stock Threshold Warnings and Reorder Alerts","0"
"0","","0","Stock Alerts","2","0","General","0"
"0","","0","Stock Alerts","2","0","Stock Threshold Warnings and Reorder Alerts","0"
"0","","0","Multi-Payment Methods","0","5","Payment Method Handling and Split Payments","0"
"0","","0","Security","3","2","Data Protection","0"
"0","","0","General","2","0","Stock Control","0"
"0","","0","Inventory Management","2","0","General","0"
"0","","0","Inventory Management","2","3","Stock Control","0"
"0","","0","Negative Testing","0","7","Data Validation","0"
"0","","0","Compatibility","0","4","Peripheral Simulation","0"
"0","","0","Negative Testing","0","5","Payment Failures","0"
"0","","0","General","2","0","Full System Regression","0"
"0","","0","Regression","2","0","General","0"
"0","","0","Regression","2","4","Full System Regression","0"
"0","","0","General","5","0","Invalid Login","0"
"0","","0","Negative Testing","5","0","General","0"
"0","","0","Negative Testing","5","2","Invalid Login","0"
"0","","0","Product Management","0","6","CRUD Operations","0"
"0","","0","Returns & Exchanges","0","5","Return Processing","0"
"0","","0","General","5","0","Login","0"
"0","","0","Authentication","5","0","General","0"
"0","","0","Authentication","5","0","Login","0"
"0","","0","General","5","0","Accessibility","0"
"0","","0","Usability","10","0","General","0"
"0","","0","Usability","5","0","Accessibility","0"
"0","","0","Security","3","2","Authentication Security","0"
"0","","0","Performance","0","6","Page Load Metrics","0"
"0","","0","Tax Calculations","0","4","Tax Compliance","0"
"0","","0","POS Workflow","0","10","Sales Transactions","0"
"0","","0","General","4","0","Offline Mode","0"
"0","","0","Network Resilience","9","0","General","0"
"0","","0","Network Resilience","4","0","Offline Mode","0"
"0","","0","General","5","0","UI Consistency","0"
"0","","0","Usability","5","0","UI Consistency","0"
"0","","0","Integration","0","4","Payment Processing Integration","0"
"0","","0","General","3","0","Data Protection","0"
"0","","0","Security","6","0","General","0"
"0","","0","Compatibility","4","1","Cross-Browser","0"
"0","","0","Integration","2","2","POS-Inventory Integration","0"
"0","","0","General","1","0","Currency Display and Multi-Language Support","0"
"0","","0","Multi-Currency Compatibility","1","0","General","0"
"0","","0","Multi-Currency Compatibility","1","1","Currency Display and Multi-Language Support","0"
"0","","0","General","5","0","Receipt Generation and Content Validation","0"
"0","","0","Receipt Verification","5","0","General","0"
"0","","0","Receipt Verification","5","0","Receipt Generation and Content Validation","0"
"0","","0","Barcode Scanning","0","5","Barcode Search and Product Lookup","0"
"0","","0","General","5","0","Offline & Latency","0"
"0","","0","Network Resilience","5","0","Offline & Latency","0"
"0","","0","General","2","0","POS-Inventory Integration","0"
"0","","0","Integration","2","0","General","0"
"0","","0","General","3","0","Authentication Security","0"
"0","","0","General","1","0","POS Behavior Under Network Disruption","0"
"0","","0","Offline Resilience","1","0","General","0"
"0","","0","Offline Resilience","1","1","POS Behavior Under Network Disruption","0"
"0","","0","General","4","0","Cross-Browser","0"
"0","","0","Compatibility","4","0","General","0"
